City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
348,souillac,-20.5167,57.5167,77.83,81,37,14.79,MU,1675826041
349,kirakira,-10.4544,161.9205,82.33,83,100,9.42,SB,1675826325
350,sao miguel do araguaia,-13.275,-50.1628,72.97,89,66,2.26,BR,1675826326
351,maarianhamina,60.0973,19.9348,35.46,93,100,5.75,AX,1675826326
352,periyapatti,10.75,77.2667,76.21,63,41,6.44,IN,1675826326
353,port hedland,-20.3167,118.5667,95.05,49,14,11.5,AU,1675826327
354,severo-kurilsk,50.6789,156.125,24.91,55,15,9.57,RU,1675826327
355,letlhakeng,-24.0944,25.0298,66.24,84,100,4.97,BW,1675826327
356,usinsk,65.9939,57.5281,16.57,94,100,24.25,RU,1675826328
357,xixiang,35.1628,112.865,48.06,41,100,12.33,CN,1675826328
358,aykhal,66.0,111.5,-34.19,100,68,2.55,RU,1675826105
359,carauari,-4.8828,-66.8958,73.58,98,95,1.88,BR,1675826328
360,xiangxiang,27.7333,112.5333,48.09,91,100,3.06,CN,1675826329
361,yuli,9.6989,10.2744,69.64,25,7,6.17,NG,1675826329
362,chicama,-7.8447,-79.1469,72.14,75,53,4.7,PE,1675826330
363,batagay-alyta,67.8006,130.4114,-33.57,100,98,1.59,RU,1675826330
364,vao,-22.6667,167.4833,80.28,70,34,13.62,NC,1675826330
365,maryville,35.7565,-83.9705,56.48,55,20,5.75,US,1675826224
366,pangnirtung,66.1451,-65.7125,-29.18,84,5,5.23,CA,1675826331
